"FIPS Code","County","State","Mask Usage","Infection Proportion","Death Proportion"
17025,"Clay","IL",0.70275,0.241049757281553,0.00455097087378641
17027,"Clinton","IL",0.76875,0.208242372610617,0.00308822746392631
17029,"Coles","IL",0.691,0.182967543114518,0.00284466920843128
17031,"Cook","IL",0.88475,0.140053469425558,0.00238202815290104
17033,"Crawford","IL",0.62875,0.198960732844056,0.00257138265388118
17035,"Cumberland","IL",0.69875,0.208062418725618,0.00380828534274568
17039,"De Witt","IL",0.78,0.174127126230976,0.00249392505435478
17041,"Douglas","IL",0.805,0.197585409709735,0.0022604675057796
17045,"Edgar","IL",0.642,0.190723151331507,0.00413728803682769
17047,"Edwards","IL",0.611,0.190148553557467,0.00328381548084441
17049,"Effingham","IL",0.709,0.223123970830393,0.00361679604798871
17051,"Fayette","IL",0.73875,0.228862017247844,0.00351518560179978
17053,"Ford","IL",0.8,0.222282231309313,0.00516935421649564
17055,"Franklin","IL",0.66425,0.212638748082872,0.00363929397696847
17057,"Fulton","IL",0.75625,0.178072218986605,0.0028246942341293
17059,"Gallatin","IL",0.6305,0.18102734051367,0.00227837613918807
17061,"Greene","IL",0.7325,0.184748245816948,0.00408666820880561
17063,"Grundy","IL",0.80275,0.176323108865123,0.00189994907352999
17065,"Hamilton","IL",0.62525,0.181986200098571,0.00320354854608181
17067,"Hancock","IL",0.63425,0.18319403659363,0.00254122430539869
17069,"Hardin","IL",0.61875,0.189479193928291,0.0041873855011777
17071,"Henderson","IL",0.78175,0.128648811315077,0.0036111947035811
17073,"Henry","IL",0.79775,0.163208145073907,0.00237155766360681
17075,"Iroquois","IL",0.682,0.187357084900789,0.003245555801431
17077,"Jackson","IL",0.74775,0.154660792951542,0.00195594713656388
17079,"Jasper","IL",0.66975,0.191259105098855,0.00239334027055151
17081,"Jefferson","IL",0.67375,0.192309733573931,0.00395393270353466
17083,"Jersey","IL",0.7575,0.185413126349148,0.00339870481789372
17085,"Jo Daviess","IL",0.7345,0.130963032728985,0.00160113020955969
17087,"Johnson","IL",0.70875,0.208987678183136,0.00306032052830796
17089,"Kane","IL",0.90225,0.147844771723675,0.0018444674428957
17091,"Kankakee","IL",0.78275,0.190002002512243,0.00262147057217236
17093,"Kendall","IL",0.92475,0.154601131870688,0.00103884022017211
17095,"Knox","IL",0.78325,0.167709611863418,0.00424555826072959
17097,"Lake","IL",0.906,0.133754944116232,0.001719942285743
17101,"Lawrence","IL",0.5625,0.236956244418931,0.00293404771016711
17103,"Lee","IL",0.8605,0.164652745190052,0.00307954012200845
17105,"Livingston","IL",0.76225,0.193362881508079,0.00347845601436266
17107,"Logan","IL",0.77325,0.200363407645538,0.00314487385561535
17109,"McDonough","IL",0.79775,0.148642274779328,0.00276261707432114
17111,"McHenry","IL",0.884,0.139495214020678,0.00123792133188638
17113,"McLean","IL",0.77275,0.160596325728645,0.00160916993650775
17115,"Macon","IL",0.823,0.17626359257372,0.00265361651395552
17117,"Macoupin","IL",0.81725,0.180140675777946,0.00331656501802965
17119,"Madison","IL",0.8425,0.172908284721219,0.00269996881726155
17121,"Marion","IL",0.70425,0.212793979303857,0.00438113156833759
17123,"Marshall","IL",0.77375,0.151075362825669,0.00218569680013988
17125,"Mason","IL",0.56125,0.189684856650947,0.00404221872894678
17127,"Massac","IL",0.69175,0.181237293058379,0.00428405460354342
17129,"Menard","IL",0.74975,0.168333879960643,0.00155788783207609
17131,"Mercer","IL",0.80375,0.166547904385567,0.00239683876400855
17133,"Monroe","IL",0.8665,0.172214683719722,0.00308918208851806
17135,"Montgomery","IL",0.82,0.202646582670515,0.00320264658267051
17137,"Morgan","IL",0.7705,0.173242616911284,0.00371382732188484
17139,"Moultrie","IL",0.697,0.192952210192401,0.00303427349837942
17141,"Ogle","IL",0.80275,0.187192701854156,0.00219181328120372
17143,"Peoria","IL",0.82225,0.173725715625157,0.00242773985790746
17145,"Perry","IL",0.7355,0.224803977816026,0.00425511570089883
17147,"Piatt","IL",0.8795,0.165320606950563,0.0012848751835536
17149,"Pike","IL",0.6425,0.211683053788317,0.0039200565516355
17151,"Pope","IL",0.6955,0.157529327268374,0.00143643763466603
17153,"Pulaski","IL",0.68425,0.214058106841612,0.0028116213683224
17155,"Putnam","IL",0.8135,0.125457396759017,0.00104547830632514
17157,"Randolph","IL",0.81175,0.188817569693537,0.00352400729972941
17159,"Richland","IL",0.64725,0.216141300844453,0.00483465480564688
17161,"Rock Island","IL",0.8115,0.158162941661557,0.00306599285306494
17165,"Saline","IL",0.697,0.204035588097569,0.00383125452300881
17167,"Sangamon","IL",0.82375,0.153232103230048,0.00177221172022684
17169,"Schuyler","IL",0.6665,0.184249408983452,0.00384160756501182
17171,"Scott","IL",0.72975,0.168248838618461,0.00141385578670976
17173,"Shelby","IL",0.7485,0.193815290746048,0.00263474161042803
17175,"Stark","IL",0.8425,0.184013478098091,0.00542867839760389
17177,"Stephenson","IL",0.84575,0.178232729560879,0.00307879005798013
17179,"Tazewell","IL",0.80175,0.186149025439482,0.00302724520686176
17181,"Union","IL",0.71275,0.207590223983667,0.00336275746111812
17183,"Vermilion","IL",0.77725,0.237176271812878,0.003220781963621
17185,"Wabash","IL",0.6195,0.201996527777778,0.00190972222222222
17187,"Warren","IL",0.8045,0.166231298978865,0.00427451911659938
17189,"Washington","IL",0.73925,0.168070857636639,0.00259235255994815
17191,"Wayne","IL",0.6695,0.211039161270429,0.00413197656490904
